TOPIK;SOAL;OPSI_A;OPSI_B;OPSI_C;OPSI_D;JAWABAN
BILANGAN;Hasil dari (-8) + 12 - (-5) adalah...;-15;-9;9;19;C
BILANGAN;Nilai dari 3^4 adalah...;12;27;81;243;C
BILANGAN;Faktor prima dari 72 adalah...;2 dan 3;2 dan 9;3 dan 8;8 dan 9;A
BILANGAN;KPK dari 12 dan 18 adalah...;24;30;36;48;C
BILANGAN;FPB dari 24 dan 36 adalah...;6;8;12;18;C
ALJABAR;Sederhanakan 2x + 3y - 5x + y adalah...;-3x + 4y;3x - 4y;7x + 4y;-7x - 4y;A
ALJABAR;Nilai x dari persamaan 3x - 7 = 8 adalah...;3;5;7;9;B
ALJABAR;Himpunan penyelesaian dari pertidaksamaan 2x + 4 < 10 adalah...;x < 3;x > 3;x < 7;x > 7;A
ALJABAR;Jika a = -2 dan b = 3, maka nilai dari 2a^2 - b adalah...;-11;5;11;17;B
ALJABAR;Koefisien dari x pada bentuk aljabar 5x^2 - 3x + 8 adalah...;5;-3;8;2;B
GEOMETRI;Besar sudut yang dibentuk oleh jarum jam pada pukul 03.00 adalah...;30 derajat;60 derajat;90 derajat;120 derajat;C
GEOMETRI;Keliling persegi panjang dengan panjang 10 cm dan lebar 6 cm adalah...;16 cm;28 cm;32 cm;60 cm;C
GEOMETRI;Luas segitiga dengan alas 8 cm dan tinggi 5 cm adalah...;13 cm^2;20 cm^2;40 cm^2;80 cm^2;B
GEOMETRI;Volume kubus dengan panjang sisi 4 cm adalah...;16 cm^3;24 cm^3;64 cm^3;96 cm^3;C
GEOMETRI;Jenis sudut yang besarnya antara 90 dan 180 derajat adalah...;sudut lancip;sudut siku-siku;sudut tumpul;sudut lurus;C
PERBANDINGAN;Harga 3 kg apel adalah Rp 75.000. Harga 5 kg apel adalah...;Rp100.000;Rp125.000;Rp150.000;Rp175.000;B
PERBANDINGAN;Skala peta 1:200. Jika jarak dua kota pada peta 5 cm, jarak sebenarnya adalah...;10 m;20 m;100 m;200 m;A
STATISTIKA;Rata-rata dari data 6, 8, 7, 9, 10 adalah...;7;8;8.5;9;B
STATISTIKA;Median dari data 3, 5, 6, 8, 10, 12, 15 adalah...;6;8;9;10;B
STATISTIKA;Modus dari data 2, 3, 4, 4, 5, 6, 6, 6, 7 adalah...;4;5;6;7;C
BILANGAN;Hasil dari 15 + (-9) x 2 adalah...;-3;-18;6;12;A
BILANGAN;Nilai dari (2^3)^2 adalah...;16;32;64;128;C
BILANGAN;Bilangan prima antara 20 dan 30 adalah...;21;23;25;27;B
BILANGAN;KPK dari 8, 12, dan 24 adalah...;24;36;48;72;A
BILANGAN;FPB dari 15, 20, dan 35 adalah...;3;5;7;10;B
ALJABAR;Sederhanakan 4a - 2b + 5a - 3b adalah...;9a - 5b;9a + 5b;-a - 5b;-a + 5b;A
ALJABAR;Nilai y dari persamaan 2y + 5 = 11 adalah...;2;3;4;5;C
ALJABAR;Himpunan penyelesaian dari pertidaksamaan -3x + 6 > 12 adalah...;x < -2;x > -2;x < 6;x > 6;A
ALJABAR;Jika p = 4 dan q = -1, maka nilai dari p^2 + 3q adalah...;13;19;7;-7;A
ALJABAR;Konstanta pada bentuk aljabar -7m + 2n - 9 adalah...;-7;2;-9;0;C
GEOMETRI;Besar sudut pelurus dari sudut 75 derajat adalah...;15 derajat;95 derajat;105 derajat;115 derajat;C
GEOMETRI;Luas persegi dengan keliling 36 cm adalah...;81 cm^2;72 cm^2;64 cm^2;48 cm^2;A
GEOMETRI;Keliling lingkaran dengan jari-jari 7 cm adalah...;22 cm;44 cm;88 cm;154 cm;B
GEOMETRI;Luas permukaan kubus dengan sisi 5 cm adalah...;25 cm^2;100 cm^2;150 cm^2;125 cm^2;C
GEOMETRI;Dua garis dikatakan sejajar jika...;berpotongan di satu titik;tidak berpotongan;membentuk sudut siku-siku;berimpit;B
PERBANDINGAN;Sebuah mobil memerlukan 10 liter bensin untuk menempuh jarak 120 km. Jika mobil tersebut menempuh jarak 300 km, bensin yang diperlukan adalah...;20 liter;25 liter;30 liter;35 liter;B
PERBANDINGAN;Waktu yang dibutuhkan untuk mencetak 100 lembar adalah 15 menit. Waktu untuk mencetak 300 lembar adalah...;30 menit;40 menit;45 menit;50 menit;C
STATISTIKA;Jangkauan dari data 4, 9, 2, 7, 5, 10, 3 adalah...;5;7;8;12;C
STATISTIKA;Kuartil bawah dari data 3, 5, 6, 8, 10, 12, 15 adalah...;5;6;7;8;A
STATISTIKA;Peluang muncul mata dadu bilangan prima pada pelemparan sebuah dadu adalah...;(1/7);(1/3);(1/2);(2/3);C
BILANGAN;Hasil dari sqrt(144) + sqrt(81) adalah...;15;21;25;27;B
BILANGAN;Nilai dari (-2)^3 + (-2)^2 adalah...;-12;-4;4;12;B
BILANGAN;Tiga bilangan ganjil berurutan yang jumlahnya 69 adalah...;21, 23, 25;19, 21, 23;25, 27, 29;23, 25, 27;A
BILANGAN;Perbandingan uang Ali dan Budi adalah 3:5. Jika selisih uang mereka Rp 20.000, maka uang Budi adalah...;Rp30.000;Rp50.000;Rp60.000;Rp80.000;B
BILANGAN;Suhu udara di puncak gunung adalah -5 derajat Celcius. Suhu di kaki gunung adalah 20 derajat Celcius. Selisih suhu adalah...;15 derajat;25 derajat;-15 derajat;-25 derajat;B
ALJABAR;Sederhanakan (6x - 9) / 3 adalah...;2x - 3;2x + 3;3x - 2;3x + 2;A
ALJABAR;Nilai m dari persamaan 4m + 8 = 2m - 6 adalah...;-7;-1;1;7;A
ALJABAR;Himpunan penyelesaian dari pertidaksamaan 4 - x ≤ 7 adalah...;x ≥ -3;x ≤ -3;x ≥ 11;x ≤ 11;A
ALJABAR;Jika x + y = 10 dan x - y = 2, maka nilai x adalah...;4;6;8;12;B
ALJABAR;Banyak suku pada bentuk aljabar 3p^2 - 5pq + q^2 - 7p + 8q - 11 adalah...;4;5;6;7;C
GEOMETRI;Besar sudut siku-siku adalah...;30 derajat;60 derajat;90 derajat;180 derajat;C
GEOMETRI;Diagonal persegi panjang dengan panjang 12 cm dan lebar 5 cm adalah...;13 cm;17 cm;60 cm;119 cm;A
GEOMETRI;Luas lingkaran dengan diameter 14 cm adalah...;44 cm^2;154 cm^2;616 cm^2;88 cm^2;B
GEOMETRI;Volume balok dengan panjang 8 cm, lebar 4 cm, dan tinggi 3 cm adalah...;32 cm^3;64 cm^3;96 cm^3;108 cm^3;C
GEOMETRI;Garis yang membagi lingkaran menjadi dua bagian sama besar disebut...;jari-jari;diameter;tali busur;apotema;B
PERBANDINGAN;Harga 5 buah buku tulis adalah Rp 12.500. Harga 8 buah buku tulis adalah...;Rp15.000;Rp18.000;Rp20.000;Rp25.000;C
PERBANDINGAN;Sebuah peta dengan skala 1:500.000. Jarak dua kota sebenarnya 150 km. Jarak pada peta adalah...;3 cm;30 cm;0.3 cm;300 cm;B
STATISTIKA;Simpangan rata-rata dari data 5, 7, 8, 6, 4 adalah...;1;1.2;1.5;2;A
STATISTIKA;Kuartil atas dari data 3, 5, 6, 8, 10, 12, 15 adalah...;10;12;13.5;15;B
STATISTIKA;Peluang muncul dua sisi angka pada pelemparan dua koin adalah...;01-Apr;01-Mar;01-Feb;02-Mar;A
BILANGAN;Hasil dari 20 - (-6) : 3 adalah...;18;22;26;28;B
BILANGAN;Nilai dari sqrt(64) / 2 adalah...;2;3;4;8;C
BILANGAN;Empat bilangan genap berurutan yang jumlahnya 100 adalah...;22, 24, 26, 28;20, 22, 24, 26;24, 26, 28, 30;18, 20, 22, 24;A
BILANGAN;Perbandingan kelereng Andi dan Beni adalah 2:7. Jika jumlah kelereng mereka 45, maka kelereng Beni adalah...;10;14;35;28;C
BILANGAN;Seorang pedagang membeli 2 lusin pensil dengan harga Rp 48.000. Harga per batang pensil adalah...;Rp1.000;Rp1.500;Rp2.000;Rp2.500;C
ALJABAR;Sederhanakan -2(a - 3b) + 5a adalah...;3a + 6b;3a - 6b;-7a + 6b;-7a - 6b;A
ALJABAR;Nilai k dari persamaan 7k - 3 = 2k + 17 adalah...;2;4;6;8;B
ALJABAR;Himpunan penyelesaian dari pertidaksamaan 2(x - 1) ≥ 6 adalah...;x ≥ 4;x ≤ 4;x ≥ 2;x ≤ 2;A
ALJABAR;Jika 2a + b = 7 dan a - b = 2, maka nilai b adalah...;1;3;5;9;B
ALJABAR;Suku yang sejenis dengan 3xy^2 adalah...;-5x^2y;2xy^2;4x^2y^2;-3x^2y;B
GEOMETRI;Besar sudut lurus adalah...;90 derajat;100 derajat;180 derajat;360 derajat;C
GEOMETRI;Keliling segitiga sama sisi dengan panjang sisi 9 cm adalah...;18 cm;27 cm;36 cm;81 cm;B
GEOMETRI;Luas permukaan balok dengan panjang 6 cm, lebar 4 cm, dan tinggi 2 cm adalah...;48 cm^2;56 cm^2;88 cm^2;104 cm^2;B
GEOMETRI;Volume prisma segitiga dengan luas alas 20 cm^2 dan tinggi 10 cm adalah...;200 cm^3;300 cm^3;400 cm^3;500 cm^3;A
GEOMETRI;Garis yang menghubungkan dua titik pada lingkaran disebut...;jari-jari;diameter;tali busur;apotema;C
PERBANDINGAN;Sebuah resep kue memerlukan 2 gelas tepung untuk 3 telur. Jika ingin membuat kue yang lebih banyak dan menggunakan 6 gelas tepung, maka telur yang dibutuhkan adalah...;4 telur;6 telur;9 telur;12 telur;C
PERBANDINGAN;Jarak sebenarnya antara dua kota adalah 240 km. Jika jarak pada peta adalah 8 cm, maka skala peta adalah...;1:30.000;1:300.000;1:3.000.000;1:30.000.000;C
STATISTIKA;Rata-rata berat badan 5 siswa adalah 40 kg. Jika satu siswa dengan berat badan 45 kg ditambahkan, maka rata-rata berat badan sekarang adalah...;40.5 kg;41 kg;41.5 kg;42 kg;A
STATISTIKA;Median dari data 12, 15, 10, 18, 20, 11, 16 adalah...;10;12;15;16;C
STATISTIKA;Peluang muncul jumlah mata dadu 10 pada pelemparan dua dadu adalah...;Jan-36;Feb-36;Mar-36;Apr-36;C
BILANGAN;Hasil dari (-12) x (-4) + (-15) adalah...;33;63;-63;-33;A
BILANGAN;Nilai dari (sqrt(16))^3 adalah...;8;16;64;256;C
BILANGAN;Jumlah bilangan prima antara 10 dan 20 adalah...;5;6;7;8;B
BILANGAN;Perbandingan siswa laki-laki dan perempuan di sebuah kelas adalah 4:5. Jika jumlah siswa laki-laki 16, maka jumlah siswa perempuan adalah...;12;16;20;24;C
BILANGAN;Harga sebuah baju setelah diskon 20% adalah Rp 80.000. Harga sebelum diskon adalah...;Rp96.000;Rp100.000;Rp104.000;Rp108.000;B
ALJABAR;Sederhanakan (8x + 12) / 4 - x adalah...;x + 3;3;2x + 3;-3;C
ALJABAR;Nilai k dari persamaan 7k - 3 = 2k + 17 adalah...;2;4;6;8;B
ALJABAR;Himpunan penyelesaian dari pertidaksamaan -2x - 8 ≤ 4 adalah...;x ≥ -6;x ≤ -6;x ≥ -2;x ≤ -2;A
ALJABAR;Jika 2a + b = 7 dan a - b = 2, maka nilai b adalah...;1;3;5;9;B
ALJABAR;Suku yang sejenis dengan 3xy^2 adalah...;-5x^2y;2xy^2;4x^2y^2;-3x^2y;B
GEOMETRI;Besar sudut lurus adalah...;90 derajat;100 derajat;180 derajat;;
ALJABAR;Nilai dari 3 × (-5) + 12 =;-27;-3;27;3;B
ALJABAR;Sederhanakan 8a - 3b - 5a + 7b =;3a + 4b;13a + 10b;3a - 10b;13a - 4b;A
ALJABAR;Jika 2x - 7 = 3, maka nilai x =;2;4;5;10;C
BILANGAN;KPK dari 12 dan 18 adalah...;6;24;36;72;C
BILANGAN;FPB dari 15 dan 20 adalah...;3;4;5;300;C
GEOMETRI;Keliling persegi dengan sisi 8 cm adalah...;16 cm;24 cm;32 cm;64 cm;C
GEOMETRI;Luas segitiga dengan alas 10 cm dan tinggi 6 cm adalah...;16 cm²;30 cm²;60 cm²;80 cm²;B
PERBANDINGAN;Jika harga 3 buku Rp 15.000, maka harga 5 buku adalah...;Rp20.000;Rp25.000;Rp30.000;Rp35.000;B
PERSENTASE;20% dari Rp 50.000 adalah...;Rp5.000;Rp10.000;Rp15.000;Rp25.000;B
STATISTIKA;Rata-rata dari data 4, 6, 8 adalah...;5;6;7;18;B
